map,started_timestamp,duration,irl_duration,game_id,avg_elo,num_players,team_0_elo,team_1_elo,replay_enhanced,leaderboard,mirror,patch,raw_match_type,game_type,game_speed,starting_age
gold_rush,2025-01-14 20:08:26+00:00,0 days 00:52:08,0 days 00:30:40,365348211,899.25,4,902.5,896.0,False,team_random_map,False,125283,7,random_map,normal,dark
megarandom,2025-01-12 17:47:25+00:00,0 days 00:41:23.700000,0 days 00:24:21,364901964,1256.5,2,1256.0,1257.0,False,random_map,False,125283,6,random_map,normal,dark
hideout,2025-01-14 01:12:23+00:00,0 days 00:34:51,0 days 00:20:30,365200688,1504.0,8,1485.75,1522.25,False,team_random_map,False,125283,9,random_map,normal,dark
arena,2025-01-18 11:50:02+00:00,0 days 00:55:50.700000,0 days 00:32:51,366098329,1177.5,2,1180.0,1175.0,False,random_map,False,125283,6,random_map,normal,dark
hideout,2025-01-18 02:14:02+00:00,0 days 00:12:09.300000,0 days 00:07:09,366021312,1200.5,2,1187.0,1214.0,False,random_map,False,125283,6,random_map,normal,dark
lowland,2025-01-18 19:15:20+00:00,0 days 00:50:09,0 days 00:29:30,366191523,1018.0,2,1013.0,1023.0,False,random_map,False,125283,6,random_map,normal,dark
megarandom,2025-01-18 18:38:04+00:00,0 days 00:58:28.800000,0 days 00:34:24,366182769,561.5,2,552.0,571.0,False,random_map,False,125283,6,random_map,normal,dark
african_clearing,2025-01-15 07:09:25+00:00,0 days 00:27:35.800000,0 days 00:16:14,365442028,1088.0,2,1072.0,1104.0,False,random_map,False,125283,6,random_map,normal,dark
african_clearing,2025-01-15 12:42:58+00:00,0 days 00:24:37.300000,0 days 00:14:29,365471026,1392.5,2,1293.0,1492.0,False,co_random_map,False,125283,66,random_map,normal,dark
lombardia,2025-01-15 17:53:26+00:00,0 days 01:06:23.100000,0 days 00:39:03,365519695,745.0,4,755.5,734.5,False,team_random_map,False,125283,7,random_map,normal,dark
acropolis,2025-01-16 13:23:02+00:00,0 days 00:27:49.400000,0 days 00:16:22,365671158,810.0,2,803.0,817.0,False,random_map,False,125283,6,random_map,normal,dark
lowland,2025-01-18 03:06:16+00:00,0 days 00:00:10.200000,0 days 00:00:06,366030362,887.5,2,894.0,881.0,False,random_map,False,125283,6,random_map,normal,dark
lombardia,2025-01-13 17:30:58+00:00,0 days 01:15:25.400000,0 days 00:44:22,365116393,1036.0,8,1042.75,1029.25,False,team_random_map,False,125283,9,random_map,normal,dark
arena,2025-01-17 05:50:13+00:00,0 days 00:57:42.900000,0 days 00:33:57,365829537,782.0,2,795.0,769.0,False,random_map,False,125283,6,random_map,normal,dark
hideout,2025-01-15 03:28:45+00:00,0 days 00:11:55.700000,0 days 00:07:01,365420031,1788.5,2,1764.0,1813.0,False,random_map,False,125283,6,random_map,normal,dark
african_clearing,2025-01-12 12:14:56+00:00,0 days 00:49:26.500000,0 days 00:29:05,364826080,877.0,2,869.0,885.0,False,random_map,False,125283,6,random_map,normal,dark
lowland,2025-01-17 03:36:15+00:00,0 days 00:47:15.600000,0 days 00:27:48,365813983,1198.5,2,1190.0,1207.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-18 20:59:29+00:00,0 days 00:03:58,0 days 00:02:20,366217659,738.0,4,729.0,747.0,False,team_random_map,False,125283,7,random_map,normal,dark
black_forest,2025-01-12 00:04:30+00:00,0 days 02:19:01.900000,0 days 01:21:47,364717955,765.75,8,745.5,786.0,False,team_random_map,False,125283,9,random_map,normal,dark
arena,2025-01-14 20:09:37+00:00,0 days 00:51:35.700000,0 days 00:30:21,365348432,952.625,8,954.0,951.25,False,team_random_map,False,125283,9,random_map,normal,dark
land_nomad,2025-01-13 15:24:03+00:00,0 days 00:55:28.600000,0 days 00:32:38,365095727,1029.75,4,1029.5,1030.0,False,team_random_map,False,125283,7,random_map,normal,dark
black_forest,2025-01-18 10:45:32+00:00,0 days 00:19:17.700000,0 days 00:11:21,366089283,1001.75,4,990.5,1013.0,False,team_random_map,False,125283,7,random_map,normal,dark
arena,2025-01-12 10:53:33+00:00,0 days 00:00:44.200000,0 days 00:00:26,364812791,338.5,2,331.0,346.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-13 00:01:50+00:00,0 days 00:21:50.700000,0 days 00:12:51,364988488,1000.0,2,999.0,1001.0,False,random_map,False,125283,6,random_map,normal,dark
